id,name,start_date,end_date,replaces,replaced_by
Q741462,Henry Sewell,1856-05-07,1856-05-20,,Q1356502
Q1356502,William Fox (politician),1856-05-20,1856-06-02,Q741462,Q646529
Q646529,Edward Stafford (politician),1856-06-02,1861-07-12,Q1356502,Q1356502
Q1356502,William Fox (politician),1861-07-12,1862-08-06,Q646529,Q1360069
Q1360069,Alfred Domett,1862-08-06,1863-10-30,Q1356502,Q328232
Q328232,Frederick Whitaker,1863-10-30,1864-11-24,Q1360069,Q328269
Q328269,Frederick Weld,1864-11-24,1865-10-16,Q328232,Q646529
Q646529,Edward Stafford (politician),1865-10-16,1869-06-28,Q328269,Q1356502
Q1356502,William Fox (politician),1869-06-28,1872-09-10,Q646529,Q646529
Q646529,Edward Stafford (politician),1872-09-10,1872-10-11,Q1356502,Q328286
Q328286,George Waterhouse (politician),1872-10-11,1873-03-03,Q646529,Q1356502
Q1356502,William Fox (politician),1873-03-03,1873-04-08,Q328286,Q1363572
Q1363572,Julius Vogel,1873-04-08,1875-07-06,Q1356502,Q640543
Q640543,Daniel Pollen,1875-07-06,1876-02-15,Q1363572,Q1363572
Q1363572,Julius Vogel,1876-02-15,1876-09-01,Q640543,Q1361191
Q1361191,Harry Atkinson,1876-09-01,1877-10-13,Q1363572,Q76821
Q76821,George Grey,1877-10-13,1879-10-08,Q1361191,Q363671
Q363671,John Hall (New Zealand politician),1879-10-08,1882-04-21,Q76821,Q328232
Q328232,Frederick Whitaker,1882-04-21,1883-09-25,Q363671,Q1361191
Q1361191,Harry Atkinson,1883-09-25,1884-08-16,Q328232,Q945390
Q945390,Robert Stout,1884-08-16,1884-08-28,Q1361191,Q1361191
Q1361191,Harry Atkinson,1884-08-28,1884-09-03,Q945390,Q945390
Q945390,Robert Stout,1884-09-03,1887-10-08,Q1361191,Q1361191
Q1361191,Harry Atkinson,1887-10-08,1891-01-24,Q945390,Q980417
Q980417,John Ballance,1891-01-24,1893-04-27,Q1361191,Q559640
Q559640,Richard Seddon,1893-05-01,1906-06-10,Q980417,Q446283
Q446283,William Hall-Jones,1906-06-21,1906-08-06,Q559640,Q1371024
Q1371024,Joseph Ward,1906-08-06,1912-03-12,Q446283,Q206153
Q206153,Thomas Mackenzie,1912-03-28,1912-07-10,Q1371024,Q923806
Q923806,William Massey,1912-07-10,1925-05-10,Q206153,Q742508
Q742508,Francis Bell (New Zealand politician),1925-05-14,1925-05-30,Q923806,Q731342
Q731342,Gordon Coates,1925-05-30,1928-12-10,Q742508,Q1371024
Q1371024,Joseph Ward,1928-12-10,1930-05-28,Q731342,Q775773
Q775773,George Forbes (New Zealand politician),1930-05-28,1935-12-06,Q1371024,Q1371015
Q1371015,Michael Joseph Savage,1935-12-06,1940-03-27,Q775773,Q1400226
Q1400226,Peter Fraser,1940-04-01,1949-12-13,Q1371015,Q1390488
Q1390488,Sidney Holland,1949-12-13,1957-09-20,Q1400226,Q637012
Q637012,Keith Holyoake,1957-09-20,1957-12-12,Q1390488,Q721770
Q721770,Walter Nash,1957-12-12,1960-12-12,Q637012,Q637012
Q637012,Keith Holyoake,1960-12-12,1972-02-07,Q721770,Q284733
Q284733,Jack Marshall,1972-02-07,1972-12-08,Q637012,Q1237120
Q1237120,Norman Kirk,1972-12-08,1974-08-31,Q284733,Q4476255
Q4476255,Hugh Watt,1974-08-31,1974-09-06,Q1237120,Q862430
Q862430,Bill Rowling,1974-09-06,1975-12-12,Q4476255,Q737739
Q737739,Robert Muldoon,1975-12-12,1984-07-26,Q862430,Q367589
Q367589,David Lange,1984-07-26,1989-08-08,Q737739,Q1385100
Q1385100,Geoffrey Palmer (politician),1989-08-08,1990-09-04,Q367589,Q558647
Q558647,Mike Moore (New Zealand politician),1990-09-04,1990-11-02,Q1385100,Q139785
Q139785,Jim Bolger,1990-11-02,1997-12-08,Q558647,Q235996
Q235996,Jenny Shipley,1997-12-08,1999-12-10,Q139785,Q180383
Q180383,Helen Clark,1999-12-10,2008-11-19,Q235996,Q57783
Q57783,John Key,2008-11-19,2016-12-12,Q180383,Q4384608
Q4384608,Bill English,2016-12-12,2017-10-26,Q57783,Q3606816
Q3606816,Jacinda Ardern,2017-10-26,,Q4384608,
